name,weightInGms,discountedSellInr,price_per_gram
"Sugarfree Gold Low Calorie Sweetner",110,61.00,0.55
"TGFC Bombay Duck Whole Cleaned",500,274.00,0.55
"Del Monte Black Sliced Olives",450,250.00,0.56
"Del Monte Pitted Green Olives",450,250.00,0.56
"Everest Kashmiri Lal Chilli Powder",500,279.00,0.56
"Gowardhan Pure Ghee Pouch",500,281.00,0.56
"Pillsbury Cooker Cake Mix - Choco",159,89.00,0.56
"Shubh kart - Nirmal Eco Box Chandan Agarbatti - 100g",100,56.00,0.56
"Shubh kart - Nirmal Eco Box Sugandhi Mogra Agarbatti - 100g",100,56.00,0.56
"The Bake Shop Jeera Ajwain Bread Sticks",100,56.00,0.56
"The Bake Shop Whole Wheat Bread Sticks",100,56.00,0.56
"Zorabian Chicken Leg Boneless ",450,250.00,0.56
"Zorabian Chicken Mince",450,250.00,0.56
"Amul Butter - Pasteurised (School Pack)",100,57.00,0.57
"Godrej Yummiez Chicken Breakfast Salami",250,143.00,0.57
"Himalaya Anti Hair Fall Shampoo",200,114.00,0.57
"Patanjali Cow's Ghee",1000,565.00,0.57
"Pillsbury Choco Chip Pancake Mix",165,94.00,0.57
"Godrej Yummiez Cheese Corn Nuggets ",400,230.00,0.58
"Godrej Yummiez Chilli Chicken Sausages ",250,144.00,0.58
"Gowardhan Ghee Jar",1000,579.00,0.58
"ITC Master Chef Crispy Chicken Fries ",280,162.00,0.58
"Kelloggs Muesli - With 22% Fruit Magic",500,288.00,0.58
"MTR Idli/Dosa/Chilly Chutney Powder",200,115.00,0.58
"MTR Masala - Sambar Powder",200,115.00,0.58
"Patanjali Hing Goli",100,58.00,0.58
"Sugarfree Gold Low Calorie Sweetner",300,175.00,0.58
"The Whole Truth Dark Chocolate Peanut Butter - Crunchy",325,188.00,0.58
"Weikfield Drinking Chocolate Powder",100,58.00,0.58
"Yummiez Veg Cheese Fingers Pouch",400,230.00,0.58
"Aashirvaad Svasti Cow Ghee Tetra Pack",500,295.00,0.59
"Epicurea Sushi Rice",500,295.00,0.59
"Epicurea Thai Jasmine Rice",500,295.00,0.59
"Eveready Ultima Alkaline Battery AAA",116,68.00,0.59
"Everest Chat Masala",100,59.00,0.59
"Go Cheese Pizza Blend Mozzarella + Cheddar",200,118.00,0.59
"Go Cheese Processed Angles Plain",160,95.00,0.59
"Go Cheese Processed Block",400,237.00,0.59
"Go Cheese Processed Squares",200,118.00,0.59
"Godrej Yummiez Chicken Lucknowi Seekh Kebab",400,234.00,0.59
"Godrej Yummiez Chicken Nuggets",500,293.00,0.59
"Johnson's Baby Powder",400,235.00,0.59
"Odonil Room Air Freshener Spray Lavender Mist",240,141.00,0.59
"Pear Green Imported",116,69.00,0.59
"Pillsbury Rich Choco Oven Cake Mix - Egg Free",270,159.00,0.59
"Weikfield Cooker Cake Mix - Chocolate",150,89.00,0.59
"Amul Cheese - Processed Slices",200,120.00,0.60
"Bagrry's Fruit Fibre Muesli Mixed Fruit ",1000,595.00,0.60
"Bagrrys Fruit N Fibre Muesli - Strawberry",1000,595.00,0.60
"Bajaj Almond Drops Hair Oil",100,60.00,0.60
"Bajaj Almond Drops Hair Oil Bottle",200,120.00,0.60
"Clinic Plus Strength & Shine Shampoo With Egg Protein ",175,105.00,0.60
"Dove Pink Rosa Beauty Bathinhg Bar",100,60.00,0.60
"Everest Kitchen King Masala",100,60.00,0.60
"Go Processed Cheese Block",200,119.00,0.60
"Kellogg's No Added Sugar Muesli",500,298.00,0.60
"Mortein PowerGard Rat Kill Cake",100,60.00,0.60
"Patanjali Saundarya Aloe Vera Gel",150,90.00,0.60
"Pears Pure & Gentle Glycerin Bath Soap",125,75.00,0.60
"The Whole Truth Peanut Butter With Dates - Creamy No Sugar",325,194.00,0.60
"Yummiez Chicken Breakfast Sausages",250,150.00,0.60
"New Kellogg's Muesli with 21% Fruit, Nut & Seeds",500,305.00,0.61
"The Laughing Cow Cheese Spread Plain",180,110.00,0.61
"Air Wick Room Air Freshener Spray - Lavender & Lotus",245,152.00,0.62
"Airwick Room Air Freshener Spray - Rose & Saffron",245,152.00,0.62
"Airwick Room Air Freshener Spray Cool Water & Aloe Vera",245,152.00,0.62
"Betty Crocker Chocolate Fudge Cake Mix",475,295.00,0.62
"Godrej Aer Morning Misty Meadows Home Air Freshener",240,149.00,0.62
"Gowardhan Ghee/Tuppa Jar",500,309.00,0.62
"Pantene Advanced Control Hair Fall Solution Shampoo",180,112.00,0.62
"Pantene Advanced Hair Fall Solution Silky Smooth Care Shampoo",180,112.00,0.62
"Pantene Silky Smooth Care Shampoo",340,210.00,0.62
"Yoga Bar Peanut Butter Dark Chocolate Jar",400,249.00,0.62
"Colgate Max Fresh Cooling Crystals Toothpaste",150,95.00,0.63
"Gits Jalebi with Maker Dessert Mix",100,63.00,0.63
"Himalaya Anti Dandruff Shampoo",200,126.00,0.63
"Nestle Cerelac Wheat - Stage 1",300,190.00,0.63
"RRO Burrata Cheese",200,125.00,0.63
"Weikfield Cooker Cake Mix - Vanilla",150,95.00,0.63
"Yummiez Chicken Garlic Fingers Pouch",400,250.00,0.63
"Zorabian Chicken Kheema Parathas",300,190.00,0.63
"Apple Washington",232,149.00,0.64
"Dettol Antiseptic Liquid + Disinfectant Spray - Original",225,143.00,0.64
"Everest Kitchen King Masala",200,128.00,0.64
"Himalaya Anti Dandruff Shampoo",200,128.00,0.64
"Kellogg's Muesli 20% Nuts Delight",500,320.00,0.64
"Palmolive Aroma Absolute Relax Shower Gel",250,159.00,0.64
"Soulfull Ragi Bites Choco Fills",250,160.00,0.64
"Soulfull Vanilla Fills - Ragi Bites",250,160.00,0.64
"24 Mantra Organic Cumin",100,65.00,0.65
"24 Mantra Red Chilly Whole",100,65.00,0.65
"Baggry's Crunchy Muesli Almond Raisins & Honey",200,130.00,0.65
"Eastern Chicken Masala",100,65.00,0.65
"ITC Master Chef Chicken Seekh Kabab",500,325.00,0.65
"Kellogg's Crunchy Granola Chocolate & Almonds",450,294.00,0.65
"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds",450,294.00,0.65
"Pantene Hair Fall Control Shampoo",340,221.00,0.65
"Bagrrys Fruit N Fibre Muesli Mixed Fruit",500,330.00,0.66
"Everest Chicken Masala",200,132.00,0.66
"Himalaya Baby Lotion",400,264.00,0.66
"Himalaya Gentle Baby Shampoo",400,265.00,0.66
"Kelloggs Chocos Fills Double Chocolaty",250,165.00,0.66
"Bagrrys Fruit and Nut Muesli with Cranberries",750,499.00,0.67
"Betty Crocker Mug Treats - Chocolate Mix - Pack of 4",264,178.00,0.67
"Everest Meat Masala Powder",100,67.00,0.67
"Everest Tandoori Chicken Masala",100,67.00,0.67
"Go Cheese Slice - Plain",200,133.00,0.67
"Go Pizza Cheese",200,133.00,0.67
"Kellogg's Almonds And Cranberries Granola",460,310.00,0.67
"L'Oreal Paris Total Repair 5 Shampoo",396,265.00,0.67
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",180,120.00,0.67
"Pantene Total Damage Care Shampoo",180,120.00,0.67
"Soulfull Millet Muesli Fruit & Nut Almonds & Real Fruits",400,269.00,0.67
"D'lecta Shredded Mozzarella Cheese",140,95.00,0.68
"Dove Hair Fall Rescue Shampoo",180,123.00,0.68
"Everest Dry Ginger Powder",100,68.00,0.68
"Odomos lotion - Mosquito Repellent",120,82.00,0.68
"Savlon Clothes Disinfectant & Refreshing Spray Fresh Breeze",230,157.00,0.68
"Apple Royal Gala",232,159.00,0.69
"Clinic Plus Strong & Long Health Shampoo",650,449.00,0.69
"Dlecta Cheese Cubes 2",200,137.00,0.69
"Dove Hair Fall Rescue Shampoo",340,236.00,0.69
"Durex Condoms Mutual Climax",174,120.00,0.69
"Oral-B Criss Cross Medium Toothbrush (Buy 2 Get 2 Free)",232,160.00,0.69
"Pillsbury Oven Cake Mix - Vanilla",225,156.00,0.69
"RRO Fresh Ricotta",200,137.00,0.69
"RRO Mozzarella Pizza Cheese",200,137.00,0.69
"RRO Sour Cream",200,137.00,0.69
"Sunsilk Lusciously Thick & Long Shampoo",340,234.00,0.69
"24 Mantra Organic Cumin Powder",100,70.00,0.70
"Amul Cheese Slices",100,70.00,0.70
"Borges Extra Light Olive Oil Bottle ",2000,1399.00,0.70
"Everest Pav Bhaji Masala",100,70.00,0.70
"Hit Lime Fresh Flying Insect Killer",385,269.00,0.70
"Johnson's Baby Soap",100,70.00,0.70
"Johnson's Baby Soap",150,105.00,0.70
"L'Oreal 6 Oil Nourish Conditioner",192,135.00,0.70
"The Bake Shop Masala Lavash",100,70.00,0.70
"The Bake Shop Whole Wheat Multigrain Lavash",100,70.00,0.70
"Cornitos Cornitos Taco Shells - 6 Inches",180,128.00,0.71
"Dabur Gulabari Rose Glow Face Cleanse",100,71.00,0.71
"Dove Daily Shine Shampoo",340,240.00,0.71
"Everest Garam Masala",200,142.00,0.71
"Odonil Air Fresher Buy 3 Get 1 Free",300,213.00,0.71
"ScotchBrite Premium Kitchen Towels",174,123.00,0.71
"Cornitos Peanut - Premium Salted ",150,108.00,0.72
"Everest Chicken Masala",100,72.00,0.72
"Everest Garam Masala",100,72.00,0.72
"Fiama Di Wills Shower Gel Patchouli & Macadamia",250,179.00,0.72
"Fiama Lemongrass and Jojoba Shower Gel",250,180.00,0.72
"Fiama Men's Refreshing Pulse Shower Gel",250,179.00,0.72
"Fiama Men's Refreshing Pulse Shower Gel",250,180.00,0.72
"Gala Iron Bull Scrub Pad",174,126.00,0.72
"Johnson's Baby Powder",200,143.00,0.72
"Dlecta Cheese Block",200,145.00,0.73
"Himalaya Baby Lotion",200,145.00,0.73
"Himalaya Baby Powder",100,73.00,0.73
"Himalaya Gentle Baby Shampoo",200,146.00,0.73
"Satyam Chilli  Bedgi",100,73.00,0.73
"Bagrrys Muesli Crunchy Fruit & Nut With Cranberries",400,297.00,0.74
"Dabur 100% Pure Honey",400,297.00,0.74
"Dabur Honey Squeezy",225,167.00,0.74
"Dove Dryness Care Shampoo",340,252.00,0.74
"Fiama Scents Juniper & Geranium Body Wash",250,186.00,0.74
"Godrej Yummiez Chicken Punjabi Tikka ",360,266.00,0.74
"RRO Cheddar Block Cheese",200,147.00,0.74
"RRO Mozzarella Block Cheese",200,147.00,0.74
"The Whole Truth - 5 Grain Muesli No Added Sugar",350,260.00,0.74
"The Whole Truth - Nuts, Fruits & Seeds Muesli",350,260.00,0.74
"Himalaya Gentle Baby Bath",200,150.00,0.75
"Maggi Magic Cubes Extra Chicken",240,179.00,0.75
"Popular Essentials Pumpkin Seeds",100,75.00,0.75
"Praakritik Organic Natural Wild Forest Honey",200,150.00,0.75
"Sugarfree Natural Green Stevia Leaves Zero Calorie",100,75.00,0.75
"Sundrop Cocoa Nut Hazelnut Chocolatey Spread",160,120.00,0.75
"The Laughing Cow Cheese Cubes",200,150.00,0.75
"The Laughing Cow Plain Processed Cheese Block",200,150.00,0.75
"Hershey's Cocoa + Almond Spread",350,266.00,0.76
"Himalaya Purifying Neem Face Wash Tube",300,229.00,0.76
"Nivea Men Active Clean with Active Charcoal Shower Gel for Body Face & Hair",250,191.00,0.76
"ITC Master Chef Chicken Galouti Kebab",210,162.00,0.77
"Pomegranate ",116,89.00,0.77
"Yoga Bar Breakfast Muesli - Almond Caramel (No Added Sugar)",400,309.00,0.77
"Yoga Bar Breakfast Muesli - Chocolate & Cranberry ",400,309.00,0.77
"Dove Hair Fall Rescue Shampoo",180,141.00,0.78
"Head & Shoulders Anti Dandruff Shampoo Cool Menthol",340,266.00,0.78
"Head & Shoulders Anti-Dandruff Smooth & Silky Shampoo",340,266.00,0.78
"L'Oreal Paris Color Protect Shampoo",360,282.00,0.78
"L'Oreal Paris Dream Lengths Shampoo",192,149.00,0.78
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",340,264.00,0.78
"Park Avenue Beer Shampoo ",180,140.00,0.78
"Pedigree Dentastix  Dog Treat Oral Care for Adult Medium Breed ",180,140.00,0.78
"The Laughing Cow Cheese Slices",200,155.00,0.78
"Zorabian Chicken Smoked Ham",250,194.00,0.78
"Johnson's Baby Top To Toe Bath Body Wash",210,165.00,0.79
"Nycil Germ Expert Cool Herbal Talc",150,119.00,0.79
"Organic India Organic Chyawanprash",500,396.00,0.79
"Chakaachak Super Sponge Wipes (Pack of 3)",174,140.00,0.80
"Everest Dry Mango Powder",100,80.00,0.80
"Himalaya Baby Nourishing Massage Oil",200,160.00,0.80
"Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade",175,140.00,0.80
"Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip",175,140.00,0.80
"Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip",175,140.00,0.80
"Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip",175,140.00,0.80
"Nivea Body Milk Lotion for Very Dry Skin",400,319.00,0.80
"Palmolive Feel The Massage Shower Gel",250,199.00,0.80
"Popular Essentials Byadagi Chilli Stemless",100,80.00,0.80
"Satyam Nighties Spices  Chilli Bore",100,80.00,0.80
"Sunsilk Lusciously Thick & Long Shampoo",650,521.00,0.80
"Sunsilk Stunning Black Shine Shampoo",650,521.00,0.80
"Himalaya Prickly Heat Baby Powder",100,81.00,0.81
"Vaseline Intensive Care Deep Moisture Body Lotion",400,325.00,0.81
"Dove Dandruff Care Shampoo",180,147.00,0.82
"Odomos Mosquito Repellent Spray",100,82.00,0.82
"Vicks Inhaler with Keychain",116,95.00,0.82
"Cadbury Hot Chocolate",200,166.00,0.83
"Colgate Total Charcoal Anticavity Toothpaste",120,99.00,0.83
"Head & Shoulders Anti-Dandruff Smooth & Silky Shampoo",180,150.00,0.83
"Maggi Magic Cubes Extra Chicken",240,199.00,0.83
"Wingreens Farms Chipotle Dip",180,150.00,0.83
"Head & Shoulders Anti Dandruff Anti Hairfall Shampoo",340,285.00,0.84
"Hershey's Cocoa Spread",350,295.00,0.84
"Hershey's Hot Chocolate Powder",250,210.00,0.84
"Baidyanath Isabgol",100,85.00,0.85
"Bell Peppers Red & Yellow ",116,99.00,0.85
"Mamaearth Ubtan Body Lotion",400,339.00,0.85
"Nestle Lactogen Stage 2 Follow-up Formula Powder",400,340.00,0.85
"Nivea Body Shea Smooth with Shea Butter for Dry Skin",400,340.00,0.85
"Fiama Di Wills Men's Refreshing Pulse Shower Gel",250,214.00,0.86
"Happilo Premium International Queen Kalmi Dates",200,172.00,0.86
"Nestle Cerelac Baby Cereal With Milk Wheat-Rice Mixed Fruit",300,261.00,0.87
"Savlon Surface Disinfectant Spray",170,148.00,0.87
"Colgate Sensitive Plus Enamel Toothpaste Tube",160,140.00,0.88
"Danish Butter Cookies",400,350.00,0.88
"Fresh Mutton Curry Cut Cubes (Halal)",500,442.00,0.88
"Dabur Honitus Herbal Cough Remedy Ayurvedic Syrup",100,89.00,0.89
"Everest Powder - Tea Masala",100,89.00,0.89
"On1y Sea Salt Grinder",100,89.00,0.89
"Pantene Hairfall Control Conditioner",200,178.00,0.89
"RRO Mascarpone Cheese",200,177.00,0.89
"Sebamed Cleansing Bar",100,89.00,0.89
"The Bake Shop Masala Cheese Crackers",100,89.00,0.89
"Britannia Good Day Cashew Cookies Pack Of 6",120,108.00,0.90
"Colgate Total 12 Whole Mouth Protection Toothpaste",120,108.00,0.90
"Gillette Lemon Lime Shaving Foam",196,177.00,0.90
"Johnson's Baby Shampoo",200,180.00,0.90
"Popular Essentials Black Pepper",100,90.00,0.90
"Nestlé CERELAC Baby Cereal with Milk",300,272.00,0.91
"Laughing Cow Cheese 8 Portion 120Gm Imported",120,110.00,0.92
"Remia Salad Italian Dressing ",250,230.00,0.92
"Dove Intense Repair Conditioner",175,162.00,0.93
"Nestle Cerelac Baby Cereal with Milk 5 Grains & Vegetables from 18 to 24 Month",300,279.00,0.93
"Dove Daily Shine Shampoo",650,612.00,0.94
"Head & shoulders Anti Dandruff Shampoo Cool Menthol",180,170.00,0.94
"Popular Essentials Californian Almond",500,470.00,0.94
"D'lecta Cheddar Cheese",200,189.00,0.95
"D'lecta Natural Feta Cheese Block",100,95.00,0.95
"Dabur Hajmola Maha Candy - Aam+Imli",130,123.00,0.95
"Dlecta Natural Cheddar Slices",200,189.00,0.95
"Pantene Adv Hairfall Solution Conditioner Silky Smooth",200,190.00,0.95
"Popular Essentials Red Cherry/Gundu Chilli",100,95.00,0.95
"Remia Mayonnaise",241,230.00,0.95
"Satyam Nighties Spices  Chilli Kashmiri",100,95.00,0.95
"Nestle Cerelac 5 Grains & Fruits Cereal",300,288.00,0.96
"Odonil Room Air Freshener Spray - Lavender Mist",137,132.00,0.96
"Odonil Room Spray Air Freshener Citrus Fres",137,132.00,0.96
"Pantai Sriracha Green Chilli Sauce",200,191.00,0.96
"Pantai Sriracha Red Chilli Sauce",200,191.00,0.96
"Pantai Sriracha Yellow Chilli Sauce",200,191.00,0.96
"TRESemme Smooth And Shine Conditioner",190,182.00,0.96
"Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ",180,174.00,0.97
"Nestle Ceregrow Multigrain Cereal with Milk and Fruits - 3 to 6 years",300,292.00,0.97
"Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner",340,334.00,0.98
"Johnson's Baby No More Tears Baby Shampoo",100,98.00,0.98
"Fine Life Cotton Balls",100,99.00,0.99
"Fresh Mutton Mince - Kheema (Halal)",500,495.00,0.99
"Head & Shoulders 2-in-1 Active Protect Shampoo",340,338.00,0.99
"On1y Black Salt Grinder",100,99.00,0.99
"Tong Garden Wasabi Coated Greenpeas Tin",180,178.00,0.99
"Johnson's Baby Lotion",100,100.00,1.00
"Johnson's Baby Oil",200,200.00,1.00
"Maggi Coconut Milkpowder",100,100.00,1.00
"Mamaearth Daily Moisturizing Lotion For Babies",200,199.00,1.00
"Mamaearth Deeply Nourishing wash for Babies",200,199.00,1.00
"Popular Essentials Californian Almond",250,251.00,1.00
"Remia Salad Caesar Dressing",250,250.00,1.00
"Scotch Brite Multi-Purpose Sponge Wipes",580,581.00,1.00
"Cantina Tortilla Dip Sauce Sour Creamy Tex Mex",190,191.00,1.01
"Origami Good Karma Toilet Roll",232,234.00,1.01
"Ferrero Nutella Hazeulnut Spread",350,357.00,1.02
"Gillette Classic Regular Pre Shave Foam",196,199.00,1.02
"Himalaya Purifying Neem Face Wash",150,153.00,1.02
"Scotch Brite Sponge Wipe",290,297.00,1.02
"Vaseline Intensive Care Aloe Fresh",200,203.00,1.02
"Colgate Visible White Toothpaste",100,103.00,1.03
"L'Oreal Paris Dream Lengths Conditioner",193,199.00,1.03
"Oral-B Charcoal Cross Cross Extra Soft Toothbrush (Buy 2 Get 1 Free)",174,180.00,1.03
"L'Oreal Anti Hair Fall Conditioner",192,199.00,1.04
"L'Oreal Paris Color Protect Conditioner",192,199.00,1.04
"L'Oreal Paris Total Repair 5 Conditioner",192,199.00,1.04
"Japanese Choice Udon Noodles",250,266.00,1.06
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",300,319.00,1.06
"Nivea Women Deodorant Fresh Natural Long Lasting Freshness & 48h Protection",150,159.00,1.06
"D'lecta Cream Cheese",150,161.00,1.07
"Head & Shoulders Shampoo + Conditioner - 2-In-1, Cool Menthol",340,365.00,1.07
"Organic India Apple Cider Vinegar",500,536.00,1.07
"Clean & Clear Foaming Face Wash",150,162.00,1.08
"Hershey's Cocoa - Natural Unsweetened",225,243.00,1.08
"L'Oreal Paris Dream Lengths Conditioner",193,209.00,1.08
"Praakritik Organic Garlic Powder",100,108.00,1.08
"Dove Daily Shine Conditioner",175,190.00,1.09
"Dove Hair Fall Rescue Conditioner",175,190.00,1.09
"Origami Kitchen Towels 2 In 1 Quilted 2ply",116,126.00,1.09
"Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner",340,375.00,1.10
"Pond's Light Moisturiser",250,278.00,1.11
"Tong Garden Wasabi Green Peas",150,167.00,1.11
"Pantai Green Curry Paste",114,128.00,1.12
"Pantai Red Curry Paste",114,128.00,1.12
"Tresemme Keratin Smooth Conditioner",340,380.00,1.12
"Vaseline Original Skin Protecting Jelly",100,112.00,1.12
"Engage Rush Deodorant For Men",150,169.00,1.13
"Nivea Men Deodorant Fresh Active 48h Long lasting Freshness",150,169.00,1.13
"Popular Essentials Cashew Split",250,283.00,1.13
"Everest Black Pepper Powder",100,115.00,1.15
"Ferrero Nutella Hazelnut Spread",180,207.00,1.15
"Johnson's Baby Oil",100,115.00,1.15
"Scotch Brite Sponge Wipes",174,200.00,1.15
"Engage Drizzle Deodorant For Women, Floral And Lavender, Skin Friendly",150,174.00,1.16
"Engage Mate For Man Deo Spray",150,174.00,1.16
"Engage Urge Deodorant For Men, Citrus And Woody, Skin Friendly",150,174.00,1.16
"Engage Woman Blush Body Deo Spray",150,174.00,1.16
"The Bake Shop Maska & Multigrain Cheese Crackers",100,116.00,1.16
"The Bake Shop Sesame Seed Crackers",100,116.00,1.16
"TRESemme Smooth And Shine Conditioner",190,220.00,1.16
"Engage Deo Frost",150,176.00,1.17
"Engage Man Rush Deodorant",150,176.00,1.17
"Eno Fruit Salt Lemon Flavour Energy Powder",100,117.00,1.17
"Pantai Chilli Garlic Sauce",200,234.00,1.17
"Pantai Dark Soy Sauce",200,234.00,1.17
"Pantai Fish Sauce",200,234.00,1.17
"Pantai Hot Chilli Sauce",200,234.00,1.17
"Pantai Light Soy Sauce",200,234.00,1.17
"Pantai Oyster Sauce",200,234.00,1.17
"Pantai Sweet Chilli Sauce",200,234.00,1.17
"Praakritik Orrganic Cold Pressed Sesame Oil",100,117.00,1.17
"Happilo Premium 100% Natural Whole Cashews",200,235.00,1.18
"Sugarfree Gold Low Calorie Sweetner ",100,118.00,1.18
"Borges Extra Virgin Olive Oil",250,299.00,1.20
"Delight Nuts Cranberries Sliced ",200,239.00,1.20
"Everest Shahi Biryani Masala",200,245.00,1.23
"Pantai Spring Roll Sauce",200,245.00,1.23
"Nivea Body Lotion Aloe Hydration For Normal Skin ",200,247.00,1.24
"Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ",200,247.00,1.24
"Praakritik Organic Ginger Powder",100,125.00,1.25
"Clean & Clear Foaming Face Wash",100,126.00,1.26
"Happilo Premium Afghani Anjeer",200,256.00,1.28
"Popular Essentials Phool Makhana (Jumbo Size)",100,128.00,1.28
"Axe Dark Temptation Men's Deodorant",150,194.00,1.29
"Eno Regular Fruit Salt Energy Powder",100,130.00,1.30
"Clean & Clear Morning Energy Aqua Splash Face Wash",100,131.00,1.31
"Clean & Clear Morning Energy Lemon Face Wash",100,131.00,1.31
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",200,263.00,1.32
"Origami Cups Plain 100 units",100,132.00,1.32
"Dabur Nature Care Isabgol - Double Action",100,133.00,1.33
"Set Wet Deodrant Charm Avatar",150,199.00,1.33
"Set Wet Swag Avatar Deodorant & Body Spray Perfume For Men",150,199.00,1.33
"Praakritik Organic Extra Virgin Coconut Oil",100,134.00,1.34
"Horlicks Protein Plus Chocolate",200,270.00,1.35
"Delight Nuts Dried Cranberries ",200,272.00,1.36
"Nivea Soft Moisturizing Cream",200,272.00,1.36
"Pantai Teriyaki Sauce with Garlic",200,276.00,1.38
"Axe Pulse Men's Deodorant",150,210.00,1.40
"Delight Nuts Almond Natural ",200,279.00,1.40
"Cadbury Cocoa Powder",150,211.00,1.41
"Harpic Flushmatic In-Cistern Toilet Cleaner Blocks Marine",100,143.00,1.43
"Clean & Clear Morning Energy Berry Face Wash",100,145.00,1.45
"Pantai Pad Thai Sauce (Non-Veg)",200,293.00,1.47
"Popular Essentials Pista Salted (With Shell)",250,371.00,1.48
"Delight Nuts Trail Mix ",200,299.00,1.50
"Engage M2 Perfume Spray For Men",120,180.00,1.50
"Engage M3 Perfume Spray for Men",120,180.00,1.50
"Engage M4 Perfume Spray For Men",120,180.00,1.50
"Figaro Pure Olive Oil",200,299.00,1.50
"Johnson's Baby Cream",100,150.00,1.50
"Garnier Skin Naturals, Micellar Cleansing Water",125,189.00,1.51
"Fogg Royal Fragrance Spray",150,230.00,1.53
"Pediasure Premium Chocolate Powdered Health Drink",400,610.00,1.53
"Ching's Secret  Noodles - Pad Thai Lemongras",130,200.00,1.54
"Ching's Secret  Pad Thai Noodles Green Curry",130,200.00,1.54
"Ching's Secret Noodles - Pad Thai Original",130,200.00,1.54
"Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli",130,200.00,1.54
"Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ",400,620.00,1.55
"24 Mantra Organic Black Pepper",100,157.00,1.57
"Nivea Creme All Season Multi-Purpose Cream ",100,157.00,1.57
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil ",100,157.00,1.57
"Nivea Soft Light Moisturizing Cream",100,157.00,1.57
"Nivea Creme, All Season Multi-Purpose Cream",100,158.00,1.58
"Delight Nuts Berries Mix ",200,319.00,1.60
"Engage M1 Perfume Spray for Men ",120,194.00,1.62
"Godrej Real Good Chicken Legs ",116,189.00,1.63
"Himalaya Men Pimple Clear Neem Face Wash",100,163.00,1.63
"Nestle Nestle Nan Pro Follow-Up Formula",400,650.00,1.63
"Mamaearth Moisturizing Baby Bath Soap",150,249.00,1.66
"Tong Garden Salted Cocktail Nuts",160,266.00,1.66
"Fogg Paradise Fragrant Body Spray For Women ",150,250.00,1.67
"Old Spice Original After Shave Lotion",150,250.00,1.67
"Popular Essentials Anjeer",100,169.00,1.69
"Delight Nuts Cashew Roasted & Salted",200,340.00,1.70
"Delight Nuts Pista Roasted & Salted",200,340.00,1.70
"Dove Cream Beauty Bathing Bar",125,212.00,1.70
"Popular Essentials Popular Essential Pista Salted (With Shell)",100,171.00,1.71
"Glow & Lovely Advanced Multivitamin Face Cream",110,190.00,1.73
"Garnier Color Naturals Crème Hair Color, Shade 5 Light Brown",100,180.00,1.80
"Scalpe Pro Anti dandruff Shampoo 100ml",100,185.00,1.85
"Gillette Mach 3 Mens Razor Blades",232,460.00,1.98
"Mamaearth Vitamin C Face Toner",200,399.00,2.00
"Old Spice After Shave Lotion Musk",100,200.00,2.00
"Gillete Mach3 ",116,234.00,2.02
"Fogg Master - Royal Intense",120,250.00,2.08
"Satyam Makhana",100,208.00,2.08
"Gillette Mach 3 Start",116,249.00,2.15
"Dove Pink Rosa Beauty Bathing Bar",100,221.00,2.21
"Livon Anti-Frizz Serum",100,225.00,2.25
"Origami Plates Plain",100,225.00,2.25
"RRO Goat Milk Fetta Cheee",100,237.00,2.37
"Mamaearth Onion Hair Oil",150,359.00,2.39
"Praakritik Natural Desi Gir Cow A2 Ghee",540,1305.00,2.42
"Bombay Shaving Company Charcoal Face Wash",100,249.00,2.49
"Gillette Mach 3 Turbo Cartridges",232,578.00,2.49
"Mangalam Camphor Tablet Jar",100,252.00,2.52
"Popular Essentials Poppy Seeds (Gasagase)",100,260.00,2.60
"Sebamed Anti - Dandruff Shampoo",200,540.00,2.70
"Delight Nuts Dried Blueberries ",150,432.00,2.88
"Mamaearth Ubtan Face Scrub Turmeric & Walnut",100,314.00,3.14
"Organic India Wheat Grass",100,316.00,3.16
"Bombay Shaving Company Sensitive Cartridges",116,375.00,3.23
"L'Oreal Paris Casting Creme Gloss Hair Color, Medium Brown 500",160,550.00,3.44
"L'Oreal Casting Creme Ebony Black Hair Color",159,550.00,3.46
"L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400)",159,550.00,3.46
"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",159,550.00,3.46
