name,weightInGms,discountedSellInr,price_per_gram
"Dettol Original Liquid Handwash Refill",750,105.00,0.14
"Dettol SKincare Handwash Value Refill",750,105.00,0.14
"McVitie's Butter Cookies",200,27.00,0.14
"MTR Roasted Vermicelli ",400,55.00,0.14
Parsley,100,14.00,0.14
"Popular Essentials Black Urad Split",500,72.00,0.14
"Popular Essentials Cooking Soda",200,27.00,0.14
"Popular Essentials Pancharatna Dal",500,72.00,0.14
"Popular Essentials Premium Jeera Rice",1000,140.00,0.14
"Popular Essentials Salted Murmure ",400,57.00,0.14
"Popular Essentials Urad Gola Black (Un-Polished)",500,72.00,0.14
"Popular Essentials White Peas (Un-Polished)",500,72.00,0.14
"Praakritik Organic Indrayani Rice",500,70.00,0.14
"Sunfeast Mom's Magic Cashew & Almond Cookies Packet",200,27.00,0.14
"Sunfeast Mom's Magic Rich Butter Cookies",200,27.00,0.14
"Surf Excel Detergent Bar Value Pack",800,114.00,0.14
"Surf Excel Quick Wash",4000,549.00,0.14
"Zucchini Yellow",250,35.00,0.14
"Amul Happy Treats French Fries",425,65.00,0.15
"Britannia Burger Bun with Sesame Seed",100,15.00,0.15
"Britannia Burger Bun with Sesame Seed",200,30.00,0.15
"Britannia Vita Marie Gold Biscuit",300,45.00,0.15
"iD Curd Cup",400,60.00,0.15
"Maggi Hot & Sweet - Tomato Chilli Sauce",1000,153.00,0.15
"Mixed Sprouts",200,29.00,0.15
"Moong Sprouts",200,29.00,0.15
"Popular Essentials Green Moong Whole",500,75.00,0.15
"Popular Essentials Kabuli Chana Regular",500,77.00,0.15
"Popular Essentials Misri Dana (Diamond Sugar) ",100,15.00,0.15
"Popular Essentials Soya Beans ",500,75.00,0.15
"Popular Essentials Toor Dal (Un-Polished)",500,74.00,0.15
"Popular Essentials Toor Dal (Un-Polished)",1000,149.00,0.15
"Popular Essentials Urad Dal Split (Un-Polished)",500,77.00,0.15
"Praakritik Organic Kapli Wheat Atta",1000,147.00,0.15
"Safal Frozen - Sweet Corn",1000,152.00,0.15
"Savlon Herbal Sensitive Liquid Handwash Refill Pouch",750,110.00,0.15
"Sunfeast Nice Biscuit",150,22.00,0.15
"Tomato Cherry ",200,29.00,0.15
"Top Ramen Masala",560,82.00,0.15
"Arden Eggs White",348,55.00,0.16
"Britannia Toastea (Premium Bake Rusk)",400,65.00,0.16
"Britannia Toastea Premium Bake Rusk",300,47.00,0.16
"Chef's Basket Durum Wheat Elbow Pasta",500,80.00,0.16
"Chef's Basket Durum Wheat Fusilli Pasta",500,80.00,0.16
