name,weightInGms,weight_category
"Britannia Nice Time Biscuit",150,Low
"Britannia Milk Bikis Cream Biscuit",200,Low
"Britannia Bourbon Chocolate Cream Biscuits",150,Low
"Dukes Waffy Chocolate Wafer Rolls ",250,Low
"Britannia Milk Bikis Milky Sandwich",120,Low
"Britannia Marie Gold Biscuit",200,Low
"Britannia Marie Gold (Buy 4 Get 1 Free)",600,Low
"Britannia 50-50 Maska Chaska Biscuit",46,Low
"Unibic Choco Nut Cookies",75,Low
"Britannia Vita Marie Gold Biscuit",300,Low
"The Bake Shop Maska Khari",200,Low
"Parle Fab! Jam-In Cream Filled ",150,Low
"Sunfeast Nice Biscuit",150,Low
"Britannia Nutrichoice 5 Grain Digestive Biscuits",200,Low
"Cadbury Oreo Strawberry Bicuits",120,Low
"Sunfeast Mom's Magic Cashew & Almond Biscuit",60,Low
"Britannia Roll Yo! Strawberry Swiss Roll",28,Low
"Bauli Moonfils Choco Cream (With Egg)",45,Low
"Britannia Nutri Choice Oats Choco Almond Biscuit",100,Low
"Britannia Nutri Choice Cracker Sugar Free Biscuit",300,Low
"Cadbury Oreo Chocolatey Sandwich Biscuits Family Pack",300,Low
"Bauli Moonfils Orange Puff Roll",45,Low
"Britannia Treat Jimjam Cream Biscuits ",100,Low
"Britannia Toastea Premium Bake Rusk",300,Low
"The Bake Shop Jeera Khari",200,Low
"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",120,Low
"Britannia Good Day Cashew Cookies",1000,Medium
"Bauli Moonfils - Vanilla",45,Low
"Britannia Roll Yo! Choco Swiss Roll (With Egg)",28,Low
"Britannia Milk Bikis Cream Biscuit",500,Low
"Open Secret Choco Almond Story Box",75,Low
"Parle Monaco Sixer Salted Biscuits ",200,Low
"Sunfeast Dark Fantasy Bourbon Bliss",150,Low
"Patanjali Atta Doodh Rusk",300,Low
"Clove Sensitive Toothpaste with Anti-Sensitivity & Fluoride Formulation",80,Low
"Dettol Original Germ Protection Alcohol Based Hand Sanitizer",50,Low
"Colgate Visible White Toothpaste",100,Low
"Dettol SKincare Handwash Value Refill",750,Low
"Savlon Herbal Sensitive Liquid Handwash Refill Pouch",750,Low
"Colgate Total 12 Whole Mouth Protection Toothpaste",120,Low
"Lux International Creamy White Soap Bar",75,Low
"Colgate Herbal Toothpaste",200,Low
"Nivea Men Deodorant Fresh Active 48h Long lasting Freshness",150,Low
"Dabur Meswak Toothpaste",100,Low
"Colgate Max Fresh Cooling Crystals Toothpaste",150,Low
"Indulekha Bhringa Hair Oil",100,Low
"Colgate Sensitive Soft Bristles Toothbrush",58,Low
"Pears Pure & Gentle Glycerin Bath Soap",125,Low
"Vaseline Skin Protecting Jelly",50,Low
"Dettol Original Germ Protection Bathing Soap Bar",375,Low
"Dettol Intense Cool Soap (B4G1)",625,Low
"Livon Anti-Frizz Serum",100,Low
"Lifebuoy Germ Protection Care Soap Bar",100,Low
"Lux International Creamy White Soap Bar",125,Low
"Godrej Nupur – 100% Pure Henna (Mehendi)",18,Low
"Glow & Lovely Advanced Multivitamin Face Cream",110,Low
"Set Wet Style Vertical Hold Hair Gel",50,Low
"Godrej Expert Rich Crème, Natural Black",20,Low
"Nycil Germ Expert Cool Herbal Talc",150,Low
"Godrej Expert Creme Hair Natural Brown Colour ",20,Low
"Veet Sensitive Skin Hair Removal Cream",50,Low
"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot",80,Low
"Pears Pure And Gentle Value Pack Of 3 Bathing Soap",375,Low
"Gillette Presto Ready Shaver 5 Cartridges ",290,Low
"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot",300,Low
"Godrej Expert Rich Crème, Dark Brown",20,Low
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil ",100,Low
"Fiama Gel Bar Celebration Pack Buy 4 Get 1 Free",625,Low
"Gillette Sensitive Shaving Foam",418,Low
"Dove Hair Fall Rescue Shampoo",180,Low
"Gillette Mach 3 Mens Razor Blades",232,Low
"Palmolive Aroma Absolute Relax Shower Gel",250,Low
"Godrej Protekt Germ Fighter Handwash",750,Low
"Dettol Hand Sanitizer",200,Low
"Dabur Amla Hair Oil",180,Low
"Dettol Original Liquid Handwash",200,Low
"L'Oreal Paris Total Repair 5 Conditioner",192,Low
"Patanjali Saundarya Aloe Vera Gel",150,Low
"Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ",180,Low
"Clean & Clear Pimple Clearing Face Wash",80,Low
"Himalaya Anti Dandruff Shampoo",200,Low
"Stayfree Secure Dry Cover Regular Sanitary Pad With Wings",406,Low
"Savlon Moisture Shield Hand Wash",750,Low
"Dove Intense Repair Conditioner",175,Low
"Dabur Gulabari Rose Glow Face Cleanse",100,Low
"Parachute Jasmine Hair Oil",190,Low
"Johnson's Baby Skincare Wipes",1160,Medium
"Dettol Skincare Liquid Hand Wash",200,Low
"Old Spice Original Lather Shaving Cream",70,Low
"Veet Hair Removal Cream Dry Skin",50,Low
"L'Oreal Paris Total Repair 5 Shampoo",396,Low
"Fiama Menthol & Magnolia Cooling Gel Bar Soap",375,Low
"Nivea Lip Balm Original Care for 24h Moisture with Shea Butter & Natural Oils",5,Low
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Soft",232,Low
"Neutrogena Ultra Sheer Dry Touch SPF 50+ Sunblock Sunscreen Lotion",30,Low
"Clinic Plus Strong & Long Health Shampoo",650,Low
"Johnson's Baby No More Tears Baby Shampoo",100,Low
"Colgate Zig Zag Toothbrush",348,Low
"Savlon Moisture Shield Germ Protection Handwash Refill (Buy 1 Get 1 Free)",1500,Medium
"Colgate Sensitive Everyday Protection Anticavity Toothpaste",40,Low
"Whisper Ultra Soft XL+ Sanitary Pads",30,Low
"Garnier Colour Naturals Hair Colour - 1 Natural Black",60,Low
"Axe Pulse Men's Deodorant",150,Low
"Colgate Zigzag Charcoal Soft Bristle Toothbrush - 4 Pcs",232,Low
"Whisper Ultra Clean Wings XL+  Pouch",44,Low
"Whisper Choice Regular Sanitary Pads",1160,Medium
"Axe Dark Temptation Men's Deodorant",150,Low
"Head & Shoulders Anti-Dandruff Smooth & Silky Shampoo",180,Low
"Clinic Plus Strength & Shine Shampoo With Egg Protein ",175,Low
"Engage M1 Perfume Spray for Men ",120,Low
"Tresemme Keratin Smooth Conditioner",340,Low
"Garnier Color Naturals Crème Hair Color, Shade 5 Light Brown",100,Low
"Origami Aloe Vera Wipes",25,Low
"Engage Drizzle Deodorant For Women, Floral And Lavender, Skin Friendly",150,Low
"Gellette Presto Ready Shaver",58,Low
"Colgate Max Fresh Plax Mouthwash - Fresh Mint",250,Low
"Colgate Zig Zag Charcoal Medium Toothbrush 4 Pcs",232,Low
"Godrej Protekt",750,Low
"Colgate Total Charcoal Anticavity Toothpaste",120,Low
"Colgate Kids 0-2 Extra Soft Tooth Brush",58,Low
"Gillete Mach3 ",116,Low
"Maybelline New York Colossal Kajal Black",0,Low
"Godrej Cinthol Lime Talc",100,Low
"Hamam Soap Bar Neem Tulsi and Aloe Vera",150,Low
"Godrej Expert Rich Crème, Burgundy",20,Low
"Colgate Gentle Sensitive+ Toothbrush Pack Of 4",232,Low
"Nivea Creme All Season Multi-Purpose Cream ",100,Low
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Medium",232,Low
"Mamaearth 100% Natural Berry Blast Kids Toothpaste",50,Low
"HImalaya Gentle Baby Wipes",72,Low
"Stayfree Dry Max All Night XL Dry Cover Sanitary Pads",28,Low
"L'Oreal Paris Excellence Creme Hair Color, 1 Black",172,Low
"Fem Fairness Naturals Saffron Skin Bleach",64,Low
"Engage Woman Blush Body Deo Spray",150,Low
"Dove Pink Rosa Beauty Bathinhg Bar",100,Low
"Sebamed Cleansing Bar",100,Low
"Pampers Premium Care Pants - Large",44,Low
"Nivea Women Deodorant Fresh Natural Long Lasting Freshness & 48h Protection",150,Low
"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",172,Low
"Patanjali Kesh Kanti Natural Hair Cleanser",200,Low
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",600,Low
"Pantene Advanced Control Hair Fall Solution Shampoo",180,Low
"Veet Full Body Waxing Kit For Dry Skin",1160,Medium
"Johnson's Baby Skincare Wipes",72,Low
"Gillette Lemon Lime Shaving Foam",196,Low
"Old Spice After Shave Lotion Musk",100,Low
"Whisper Ultra Soft Air Fresh Sanitary Pads (XL) with Wings",30,Low
"Himalaya Baby Powder",100,Low
"Fiama Men's Refreshing Pulse Shower Gel",250,Low
"Whisper Ultra Clean XL Plus Sanitary Pad",870,Low
"Johnson's Baby Powder",200,Low
"Dove Cream Beauty Bathing Bar",125,Low
"Patanjali Kesh Kanti Shikakai Hair Cleanser",200,Low
"L'Oreal Paris Color Protect Conditioner",192,Low
"Nivea Men Active Clean with Active Charcoal Shower Gel for Body Face & Hair",250,Low
"L'Oreal 6 Oil Nourish Conditioner",192,Low
"Godrej Easy Natural Black Hair Colour",20,Low
"Dabur Gulabari Rose Water Daily Glow",250,Low
"Himalaya Purifying Neem Face Wash",150,Low
"Fem Fairness Naturals Gold Skin Bleach",24,Low
"Whisper Choice Ultra XL Sanitary Pad",1160,Medium
"Dove Dandruff Care Shampoo",180,Low
"Head & Shoulders Anti Dandruff Anti Hairfall Shampoo",340,Low
"L'Oreal Casting Creme Ebony Black Hair Color",159,Low
"Mamaearth Onion Hair Oil",150,Low
"L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400)",159,Low
"Palmolive Naturals Sea Minerals Liquid Hand Wash",250,Low
"Oral-B Extra Soft Bristles Sensitive ",232,Low
"Engage M3 Perfume Spray for Men",120,Low
"Mamaearth Deeply Nourishing wash for Babies",200,Low
"Dettol Original Soap (B4G1)",625,Low
"Woodward's Gripe Water",200,Low
"MamyPoko Pants Extra Absorb Diapers, New Born",28,Low
"Johnson's Baby Soap",100,Low
"Engage M4 Perfume Spray For Men",120,Low
"Fem Fairness Naturals Hair Removal Cream Fair & Soft - Gold",40,Low
"Dove Hair Fall Rescue Conditioner",175,Low
"Himalaya Anti Hair Fall Shampoo",200,Low
"Fiama Peach & Avocado Gel Bar",375,Low
"Pears Pure & Gentle Value Pack Of 4 Bathing Soap ",75,Low
"Fiama Fresh Hand Wash",400,Low
"Palmolive Black Orchid And Milk Liquid Hand Wash",250,Low
"Oral-B Criss Cross Medium Toothbrush (Buy 2 Get 2 Free)",232,Low
"Gillette Mach 3 Turbo Razor",58,Low
"Himalaya Baby Lotion",200,Low
"Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner",340,Low
"Sunsilk Lusciously Thick & Long Shampoo",340,Low
"Fiama Di Wills Men's Refreshing Pulse Shower Gel",250,Low
"Sebamed Anti - Dandruff Shampoo",200,Low
"Listerine Cool Mint Mouthwash - Mild Taste",250,Low
"L'Oreal Paris Excellence Creme Hair Color, 4.25 Aishwarya's Brown",172,Low
"Himalaya Gentle Baby Bath",200,Low
"L'Oreal Paris Casting Creme Gloss Hair Color, Medium Brown 500",160,Low
"L'Oreal Paris Color Protect Shampoo",360,Low
"Fiama Di Wills Lemongrass & Jojoba Gel Bar",375,Low
"Colgate Plax Peppermint Mouthwash",250,Low
"Dove Daily Shine Conditioner",80,Low
"Patanjali Kesh Kanti Anti Dandruff Hair Cleanser",200,Low
"Old Spice Original After Shave Lotion",150,Low
"Dettol Clinical Strength Hand Sanitizer Liquid",500,Low
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",300,Low
"Comfy Baby Pants XL 12-17 kg",24,Low
"Dettol Liquid Handwash With Free Liquid",200,Low
"Nivea Body Milk Lotion for Very Dry Skin",400,Low
"Lakme Sun Expert",60,Low
"Head & shoulders Anti Dandruff Shampoo Cool Menthol",180,Low
"Godrej Nupur Henna",150,Low
"Johnson's Baby Lotion",100,Low
"Maybelline New York Colossal Kajal Super Black",0,Low
"Stayfree Dry-Max All Night Ultra-Dry Sanitary Pad",406,Low
"Dove Daily Shine Shampoo",650,Low
"Godrej Easy 5 Minute Natural Brown 4 Hair Colour",20,Low
"Colgate Sensitive Plus Enamel Toothpaste Tube",160,Low
"Colgate Max Fresh Peppermint Toothpaste ",300,Low
"Pond's Light Moisturiser",250,Low
"Engage Mate For Man Deo Spray",150,Low
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",180,Low
"Whisper Choice Regular Wing Sanitary Pad",406,Low
"Colgate Slim Soft Charcoal Toothbrush",232,Low
"Fiama Scents Juniper & Geranium Body Wash",250,Low
"Mamaearth Ubtan Body Lotion",400,Low
"Godrej Aer Power Pocket - Long Lasting Bathroom Fragrance Floral Delight",10,Low
"Himalaya Anti-Hair Fall Shampoo",400,Low
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",200,Low
"Engage M2 Perfume Spray For Men",120,Low
"Mamaearth Ubtan Face Scrub Turmeric & Walnut",100,Low
"Himalaya Purifying Neem Face Wash Tube",300,Low
"Johnson's Baby Top To Toe Bath Body Wash",210,Low
"Gillette Mach 3 Start",116,Low
"Scalpe Pro Anti dandruff Shampoo 100ml",100,Low
"Johnson's Baby Cream",100,Low
"Johnson's Baby Soap",150,Low
"Himalaya Gentle Baby Shampoo",400,Low
"L'Oreal Paris Shine Masque Royal Jelly Hair Colour",88,Low
"Engage Rush Deodorant For Men",150,Low
"Clean & Clear Foaming Face Wash",100,Low
"Dettol Lather Shaving Cream",78,Low
"Gillette Classic Regular Pre Shave Foam",196,Low
"Dove Daily Shine Conditioner",175,Low
"Johnson's Baby Shampoo",200,Low
"Park Avenue Beer Shampoo ",180,Low
"Pantene Advanced Hair Fall Solution Silky Smooth Care Shampoo",180,Low
"Fem Fairness Naturals Hair Removal Cream Fair & Soft - Rose",40,Low
"Sunsilk Stunning Black Shine Shampoo",650,Low
"Dabur Meswak Toothpaste",200,Low
"Patanjali Kesh Kanti Reetha Hair Cleanser",200,Low
"Nivea Lip Balm Soft Rose for 24h Moisture with Natural Oils Delicate Rose Shine",5,Low
"Santoor Total Skin Care Soap With Sandal & Turmeric",600,Low
"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",172,Low
"Gillette Pre Shave Foam - Classic Regular Skin",418,Low
"Fiama Di Wills Shower Gel Patchouli & Macadamia",250,Low
"Listerine Fresh Burst Mouthwash",250,Low
"Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ",200,Low
"Pantene Hair Fall Control Shampoo",340,Low
"Fogg Master - Royal Intense",120,Low
"TRESemme Smooth And Shine Conditioner",190,Low
"Colgate Kids Toothpaste - 6+ Years, Strawberry Flavour",80,Low
"Nivea Soft Moisturizing Cream",200,Low
"Patanjali Kesh Kanti Aloe Vera Hair Cleanser",200,Low
"Neutrogena Deep Clean Foaming Cleanser",50,Low
"Clean & Clear Morning Energy Berry Face Wash",100,Low
"Pampers Premium Care New Baby Pants",24,Low
"Vaseline Intensive Care Aloe Fresh",200,Low
"L'Oreal Paris Dream Lengths Shampoo",192,Low
"Johnson's Baby Oil",100,Low
"Engage Man Rush Deodorant",150,Low
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",340,Low
"Whisper Daily Liners Clean and Fresh",1160,Medium
"Himalaya Men Pimple Clear Neem Face Wash",100,Low
"Pantene Adv Hairfall Solution Conditioner Silky Smooth",200,Low
"Himalaya Prickly Heat Baby Powder",100,Low
"Mamaearth Daily Moisturizing Lotion For Babies",200,Low
"Stayfree Advanced XL Ultra Comfort Sanitary napkins with Wings",812,Low
"Pampers Premium Care Pants - Medium",54,Low
"Vaseline Original Skin Protecting Jelly",100,Low
"Clean & Clear Foaming Face Wash",150,Low
"Fiama Lemongrass and Jojoba Shower Gel",250,Low
"Oral-B Charcoal Cross Cross Extra Soft Toothbrush (Buy 2 Get 1 Free)",174,Low
"Listerine Fresh Burst Mouthwash",500,Low
"Veet Full Body Waxing Kit",1160,Medium
"Listerine Original Mouthwash",80,Low
"Santoor Almond Soft With Sandal & Almond Milk",625,Low
"Nivea Body Shea Smooth with Shea Butter for Dry Skin",400,Low
"Neutrogena Deep Clean Facial Cleanser",50,Low
"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",159,Low
"Johnson's Baby Powder",400,Low
"Bombay Shaving Company Charcoal Face Wash",100,Low
"Colgate Kids 2+ Years Extra Soft Toothbrush",58,Low
"Veet Hair Removal Cream (Normal Skin)",50,Low
"Dove Daily Shine Shampoo",340,Low
"L'Oreal Anti Hair Fall Conditioner",192,Low
"Nivea Body Lotion Aloe Hydration For Normal Skin ",200,Low
"Pampers Pants - Large",82,Low
"Engage Urge Deodorant For Men, Citrus And Woody, Skin Friendly",150,Low
"Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner",340,Low
"Fem Fairness Natural Gold Skin Bleach",64,Low
"Engage Deo Frost",150,Low
"Stayfree Secure XL Size Sanitary Napkins",1160,Medium
"Pampers Pants - Medium",50,Low
"Pampers Active Baby Diapers New Born Extra Small ",72,Low
"Nivea Creme, All Season Multi-Purpose Cream",100,Low
"Woodwards Gripe Water ",130,Low
"Clean & Clear Morning Energy Aqua Splash Face Wash",100,Low
"Sunsilk Lusciously Thick & Long Shampoo",650,Low
"Mamaearth Skin Correct Face Serum",30,Low
"Chik Hairfall Prevent Egg Shampoo",340,Low
"Pantene Silky Smooth Care Shampoo",340,Low
"Garnier Skin Naturals, Micellar Cleansing Water",125,Low
"Set Wet Swag Avatar Deodorant & Body Spray Perfume For Men",150,Low
"Pampers All Round Protection Pants - Medium",50,Low
"Set Wet Deodrant Charm Avatar",150,Low
"Nupur Heena Mehandi",500,Low
"Head & Shoulders 2-in-1 Active Protect Shampoo",340,Low
"Gillette Mach 3 Turbo Cartridges",232,Low
"Bombay Shaving Company Sensitive Cartridges",116,Low
"Himalaya Baby Lotion",400,Low
"Old Spice Lime Lather Shaving Cream",70,Low
"Colgate Sensitive Plus Anticavity Toothpaste ",70,Low
"Colgate Toothpaste For Kids Motu Oatlu",80,Low
"Pantene Total Damage Care Shampoo",180,Low
"Himalaya Moisturising Aloe Vera Facial Wipes",25,Low
"Savlon Moisture Shield Hand Wash",200,Low
"Pampers Active Baby Diapers New Born Extra Small",24,Low
"Himalaya Anti Dandruff Shampoo",400,Low
"Himalaya Anti Hair Fall Shampoo",700,Low
"Johnson's Baby Oil",200,Low
"Vaseline Intensive Care Deep Moisture Body Lotion",400,Low
"L'Oreal Paris Dream Lengths Conditioner",193,Low
"Nivea Soft Light Moisturizing Cream",100,Low
"Whisper Ultra Soft XL+ Sanitary Pads",60,Low
"Palmolive Feel The Massage Shower Gel",250,Low
"Head & Shoulders Anti-Dandruff Smooth & Silky Shampoo",340,Low
"Mamaearth Moisturizing Baby Bath Soap",150,Low
"Listerine Original Mouthwash",250,Low
"Himalaya Gentle Baby Shampoo",200,Low
"Dove Dryness Care Shampoo",340,Low
"Dove Hair Fall Rescue Shampoo",340,Low
"Head & Shoulders Anti Dandruff Shampoo Cool Menthol",340,Low
"Bombay Shaving Company Defender Razor",58,Low
"Head & Shoulders Shampoo + Conditioner - 2-In-1, Cool Menthol",340,Low
"Himalaya Baby Nourishing Massage Oil",200,Low
"Himalaya Baby Powder",400,Low
"Fogg Paradise Fragrant Body Spray For Women ",150,Low
"Revive Revive Liquid",200,Low
"Pantene Hairfall Control Conditioner",200,Low
"Mamaearth Vitamin C Face Toner",200,Low
"Himalaya Diaper Rash Cream",20,Low
"Fogg Royal Fragrance Spray",150,Low
"Dove Pink Rosa Beauty Bathing Bar",100,Low
"Dove Dryness Care Conditioner Frizzy & Dry Hair",80,Low
"Dettol Original Liquid Handwash Refill",750,Low
"Parachute 100% Pure Coconut Oil",300,Low
"Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings",406,Low
"Dabur Gulabari Premium Rose Water",120,Low
"Parachute Advansed Gold Coconut Hair Oil",400,Low
"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot",150,Low
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",500,Low
"Sensodyne Sensitive Fresh Gel Toothpaste",75,Low
"Whisper Bindazzz Nights XL + Sanitary Pad",406,Low
"Whisper Choice Sanitary Pad ",406,Low
"Godrej No.1 Bathing Soap, Jasmine",400,Low
"Gillette Venus Close & Clean Razor ",58,Low
"Whisper Choice Regular Sanitary Pads",58,Low
"Stayfree Secure Dry Cover Extra Large Sanitary Pad",406,Low
"Oxylife Natural Radiance 5 Creme Bleach - With Active Oxygen",27,Low
"Clean & Clear Morning Energy Lemon Face Wash",100,Low
"Bajaj Almond Drops Hair Oil",100,Low
"Bajaj Almond Drops Hair Oil Bottle",200,Low
"Whisper Bindazzz Night Sanitary Pads XL Plus",870,Low
"Godrej Cinthol Lime Refreshing Deo Soap",400,Low
"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",26,Low
"Surf Excel Stain Eraser",150,Low
"Colin Glass and Surface Cleaner Liquid Spray Regular",500,Low
"A1 Biodegradable Garbage Dustbin Bags",30,Low
"Mortein Cockroach Killer Spray, Crawling insect killer with Deep-Reach Nozzle",425,Low
"Pril Perfect Lime Dishwash Liquid",750,Low
"Dettol Antiseptic Disinfectant Liquid",125,Low
"Godrej Aer Power Pocket Berry Rush",10,Low
"Hit Cockroach Killer Spray ",200,Low
"Vim Dishwash Liquid Gel Lemon",750,Low
"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 L",1000,Medium
"Odomos Mosquito Repellent Cream ",50,Low
"Harpic Disinfectant Bathroom Cleaner Liquid Lemon",1000,Medium
"Eveready AA pack of 10 ",580,Low
"Cherry Blossom Liquid Wax Polish",75,Low
"Gala Scrubber Cleaner Home Everyday Scrub",58,Low
"Hit Flower Lime Fragrance Insect Killer Spray",400,Low
"Harpic Hygienic Toilet Cleaner Rim Block Jasmine",26,Low
"Om Bhakti - Pancha Deepa Oil ",1000,Medium
"Ariel Complete Detergent Washing Powder 500 g  + 200 g Free",500,Low
"Surf Excel Matic Top Load Detergent Powder",1000,Medium
"Harpic Flushmatic In-Cistern Toilet Cleaner Blocks Marine",100,Low
"Eveready 1012 Carbon Zinc AAA Battery",580,Low
"Surf Excel Matic Front Load Detergent Liquid",1000,Medium
"Origami Kitchen Towels 2 In 1 Quilted 2ply",116,Low
"Oxi Green Phenyl - Pine ",1000,Medium
"Surf Excel Easy Wash Detergent Liquid",1000,Medium
"Uno Playing Card Game",58,Low
"Chakaachak Mini Cloth Brush",58,Low
"Chakaachak Super Scrub Pad (Pack of 3)",174,Low
"Colin Glass and Surface Cleaner Liquid Spray Regular",250,Low
"Om Bhakti Cow Dung Cakes ",290,Low
"Dettol Antiseptic Liquid",60,Low
"Harpic Hygienic Toilet Cleaner Rim Block Citrus",26,Low
"Eveready Ultima Alkaline AA Cell Battery-6 Pc Pack",348,Low
"Mangaldeep Rose Puja Agarbatti ",120,Low
"Ariel Matic Top Load Detergent Washing Powder",1000,Medium
"Gala Cloth Poccha/Mop",58,Low
"Chakaachak Floor Cleaning Pocha",58,Low
"Oxi Green Floor Cleaner - Floral",1000,Medium
"Godrej Aer Pocket, Bathroom Air Fragrance - Assorted Pack Of 3",30,Low
"Ariel Complete Detergent Washing Powder 1 kg + 500 g Free",1500,Medium
"Chakaachak Sponge Scrubber (Pack of 2)",116,Low
"Lizol Disinfectant Surface & Floor Cleaner Liquid Floral",500,Low
"Harpic Germ & Stain Blaster Disinfectant Toilet Cleaner Floral",750,Low
"Hit Lime Fresh Flying Insect Killer",385,Low
"Fevistik Super Glue Stick",15,Low
"Godrej Ezee Liquid Detergent",1000,Medium
"Odonil Air Fresher Buy 3 Get 1 Free",300,Low
""Godrej Aer Power Pocket - Long Lasting Bathroom Fragrance Fresh Blossom"""",10,Low
"Genteel Liquid Detegrent",2000,Medium
"Scotch Brite Scrub Pad",290,Low
"Shubh kart - Nirmal Eco Box Chandan Agarbatti - 100g",100,Low
"Surf Excel Quick Wash",4000,Medium
"Hem Mantra Masala Agarbatti",50,Low
"Odonil Room Air Freshener Spray Lavender Mist",240,Low
"Chakaachak Mega Star Toilet Brush",58,Low
"Om Bhakti Wick for Diya - Cotton Long Batti ",50,Low
"Origami Non-Woven Kitchen Towel",80,Low
"Shubh kart - Nirmal 5 in 1 Agarbatti Zipper - 150g",150,Low
"Harpic Lemon Bathroom Cleaner ",500,Low
"Scotch Brite Sponge Wipes",174,Low
"Godrej Aer Spray Fresh Lush Green",240,Low
"Oxi Green Phenyl Concentrate",1000,Medium
"Oxi Green Max Force Green Concentrate",500,Low
"Godrej Aer Morning Misty Meadows Home Air Freshener",240,Low
"Kiwi Dranex Drain Cleaner",348,Low
"Origami Disposable Spoons",1160,Medium
"Pril Bar Tub",500,Low
"Om Bhakti Wick for Diya - Cotton Flower Batti ",60,Low
"Chakaachak Deluxe Dustpan Grey",58,Low
"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus",975,Low
"ScotchBrite Premium Kitchen Towels",174,Low
"Vanish All in One Powder Detergent Booster",400,Low
"Good Knight Fabric Personal Mosquito Repellent Roll On",8,Low
"Gala Iron Bull Scrub Pad",174,Low
"Tide Plus Extra Power Lemon & Mint Detergent Powder",2000,Medium
"Chakaachak Dustpan Grey",58,Low
"Mortein PowerGard Rat Kill Cake",100,Low
"Odomos Mosquito Repellent Cream",23,Low
"Shubh kart - Nirmal Eco Box Sugandhi Mogra Agarbatti - 100g",100,Low
"Cherry Blossom Wax Shoe Polish Black",40,Low
"Origami Paper Plates",50,Low
"Gala Microfiber Magic Cloth 2-In-1",58,Low
"Mr Muscle Dranex Drain Cleaner Kiwi",375,Low
"Lizol Disinfectant Surface & Floor Cleaner Liquid Jasmine",500,Low
"Odonil Room Spray Air Freshener Citrus Fres",137,Low
"Scotch Brite Power Scrub Pad",58,Low
"Origami Good Karma Toilet Roll",232,Low
"Shubh kart - Shubhkart Sambrani Cup Black 12n",696,Low
"Gala Scrubber Pad",290,Low
"Origami So Soft Tissue Roll Single - 340 Pulls 3 Ply",58,Low
"Odomos lotion - Mosquito Repellent",120,Low
"Surf Excel Matic Front Load Detergent Powder",2000,Medium
"Fevicol Mr.Original General Purpose White Glue ",105,Low
"Aro Aluminium Container with Lid 230 ml",25,Low
"Harpic Power Fresh 6 Toilet Cleaner Rim Block Floral Delight",35,Low
"Origami So Soft Tissue Roll 3 Ply",696,Low
"Ariel Matic Front Load Detergent Washing Powder",3000,Medium
"Gala Double Hockey Toilet Brush",58,Low
"Surf Excel Detergent Bar Value Pack",800,Low
"Odonil Zipper Blissful Citrus",10,Low
"Eveready Base B22 9-Watt LED Bulb",58,Low
"Scotch Brite Sponge Wipe",290,Low
"Domex Disinfectant Floor Cleaner",1000,Medium
"Surf Excel Matic Powder Front Load ",4000,Medium
"Scotch Brite Silver Sparks Scrub Pad",348,Low
"Airwick Room Air Freshener Spray Cool Water & Aloe Vera",245,Low
"Shubh kart - Surabhi Camphor Pouch 50g",50,Low
"Pril Power Of Active Boosters",400,Low
"Scotch Brite Tough Scrubber Brush",58,Low
"Mortein Dual All Insect Killer Spray",600,Low
"Lizol Double Concentrate Disinfectant Floor Cleaner Lavender",900,Low
"Eveready Ultima Alkaline Battery AAA",116,Low
"Shubh kart - Tejas Twisted Cotton Wicks 1000n",1000,Medium
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",1900,Medium
"Surf Excel Matic Top Load",4000,Medium
"Oxi Green Dish Wash Liquid - Lemon",500,Low
"Mangalam Camphor",50,Low
"Cherry Blossom Liquid Wax Polish (Dark Tan)",75,Low
"Gala EzeeSqueegee Wiper",58,Low
