name,weightInGms,weight_category
"Popular Essentials Chiroti Sooji",500,Low
"RRO Til Dil Premium Til Oil Bottle",1000,Medium
"Popular Essentials Red Rajma",500,Low
"Cornitos Peanut - Premium Salted ",150,Low
"Popular Essentials Black Pepper",100,Low
"24 Mantra Organic Tur Dal - Split",500,Low
"Sugarfree Gold Low Calorie Sweetner",110,Low
"Ching's Secret Paneer Chilli Masala",20,Low
"Dabur Honey ",500,Low
"Everest Tea Masala",50,Low
"Ching's Paneer Chilli Masala",60,Low
"Sunfeast YiPPee! Magic Masala Noodles",405,Low
"Everest Meat Masala Powder",100,Low
"Pillsbury Atta With Multigrains Wheat Grains",5000,Bulk
"Mother's Recipe Tamarind Paste",200,Low
"Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy",200,Low
"Popular Essentials Cloves (Lavang)",50,Low
"Sunfeast Yippee! Power Up Atta Noodles",280,Low
"Suhana Paneer Tikka Masala Mix",50,Low
"24 Mantra Turmeric Powder",100,Low
"24 Mantra Super Grain Quinoa",500,Low
"Everest Powder - Egg Curry Masala",50,Low
"Popular Essentials Pe Shah Jeera ",50,Low
"24 Mantra Organic Sattu Atta",500,Low
"Smith & Jones Pasta Masala",54,Low
"Weikfield Vanilla Custard Powder",500,Low
"Sugarfree Natura Low Calorie Sweetner ",42,Low
"Pillsbury Vanilla Custard Powder",100,Low
"24 Mantra Organic Rajma",500,Low
"Popular Essentials Broken Wheat/Daliya",500,Low
"Zorabian Chicken Smoked Ham",250,Low
"Smith & Jones Peri Peri Masala",75,Low
"Saffola Veggie Twist Masala Oats",500,Low
"Popular Essentials Urad Dal Split (Un-Polished)",500,Low
"Weikfield Baking Powder",50,Low
"Popular Essentials Bajra Whole",1000,Medium
"Weikfield Veg Jelly Crystals - Strawberry",90,Low
"Weikfield Veg Jelly Crystals - Raspberry",90,Low
"Popular Essentials Masoor Dal Split (Un-Polished)",500,Low
"Popular Essentials Ajwain Whole",100,Low
